      Freq    Re(Vin),             Im(Vin),            Re(Vout),            Im(Vout),             Re(Iin),             Im(Iin),            Re(Iout),            Im(Iout),             Re(Pin),             Im(Pin),            Re(Zout),            Im(Zout),            Re(Pout),            Im(Pout),             Re(Zin),             Im(Zin),              Re(Av),              Im(Av),              Re(Ai),              Im(Ai),          
        Hz           V                    V                    V                    V                    A                    A                    A                    A                    W                    W                 Ohms                 Ohms                    W                    W                 Ohms                 Ohms                    L                    L                    L                    L          
 2.215e+05  2.304e+00,  8.274e-02,   2.298e+00, -9.623e-01,   8.531e-03, -2.618e-04,   7.271e-03, -3.045e-03,   1.964e-02,  1.309e-03,   3.690e+02, -2.422e+01,   1.964e-02,  8.674e-19,   2.696e+02,  1.797e+01,   9.808e-01, -4.528e-01,   8.624e-01, -3.305e-01,  
 2.282e+05  2.602e+00,  5.482e-01,  -4.373e-01, -2.397e+00,   7.589e-03, -1.735e-03,  -1.384e-03, -7.587e-03,   1.879e-02,  8.674e-03,   2.661e+02, -1.230e+02,   1.879e-02,  0.000e+00,   3.101e+02,  1.431e+02,  -3.468e-01, -8.484e-01,   4.387e-02, -9.897e-01,  
 2.349e+05  2.509e+00,  1.181e-04,  -2.500e+00, -3.963e-02,   7.882e-03, -3.737e-07,  -7.910e-03, -1.254e-04,   1.978e-02,  1.868e-06,   3.137e+02, -4.396e-02,   1.978e-02,  5.421e-20,   3.183e+02,  3.007e-02,  -9.962e-01, -1.575e-02,  -1.004e+00, -1.596e-02,  
 2.416e+05  2.381e+00,  5.750e-01,  -5.010e-01,  2.378e+00,   8.289e-03, -1.819e-03,  -1.585e-03,  7.525e-03,   1.869e-02,  9.097e-03,   3.120e+02, -1.517e+02,   1.869e-02, -1.301e-18,   2.595e+02,  1.263e+02,   2.909e-02,  9.918e-01,  -3.726e-01,  8.260e-01,  
 2.483e+05  2.730e+00,  1.025e-01,   2.270e+00,  1.017e+00,   7.182e-03, -3.243e-04,   7.183e-03,  3.219e-03,   1.958e-02,  1.621e-03,   2.619e+02, -2.198e+01,   1.958e-02, -8.674e-19,   3.788e+02,  3.137e+01,   8.441e-01,  3.408e-01,   9.779e-01,  4.923e-01,  
 2.550e+05  2.209e+00,  4.395e-01,   1.355e+00, -2.034e+00,   8.832e-03, -1.391e-03,   4.289e-03, -6.435e-03,   1.890e-02,  6.953e-03,   3.730e+02, -1.367e+02,   1.890e-02, -1.735e-18,   2.364e+02,  8.698e+01,   4.140e-01, -1.003e+00,   5.858e-01, -6.364e-01,  
 2.618e+05  2.826e+00,  3.413e-01,  -1.690e+00, -1.781e+00,   6.881e-03, -1.080e-03,  -5.347e-03, -5.637e-03,   1.907e-02,  5.400e-03,   2.354e+02, -6.700e+01,   1.907e-02,  0.000e+00,   3.931e+02,  1.113e+02,  -6.644e-01, -5.502e-01,  -6.328e-01, -9.185e-01,  
 2.685e+05  2.189e+00,  2.166e-01,  -2.032e+00,  1.406e+00,   8.897e-03, -6.855e-04,  -6.431e-03,  4.448e-03,   1.932e-02,  3.427e-03,   3.994e+02, -7.029e+01,   1.932e-02,  0.000e+00,   2.427e+02,  4.305e+01,  -8.566e-01,  7.271e-01,  -7.569e-01,  4.417e-01,  
 2.752e+05  2.741e+00,  5.848e-01,   9.158e-01,  2.239e+00,   7.149e-03, -1.851e-03,   2.898e-03,  7.084e-03,   1.851e-02,  9.253e-03,   2.358e+02, -1.181e+02,   1.851e-02, -8.674e-19,   3.395e+02,  1.697e+02,   4.862e-01,  7.129e-01,   1.395e-01,  1.027e+00,  
 2.819e+05  2.346e+00,  3.611e-02,   2.431e+00, -5.635e-01,   8.399e-03, -1.143e-04,   7.692e-03, -1.783e-03,   1.970e-02,  5.714e-04,   3.574e+02, -1.014e+01,   1.970e-02,  0.000e+00,   2.792e+02,  8.099e+00,   1.032e+00, -2.561e-01,   9.185e-01, -1.998e-01,  
